audit_tab,link_type,hu_page,ro_url,anchor,ro_final_status,ro_final_url,hu_replacement,action
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/hogyan-valaszthatja-ki-a-konyhai-mosogato-vagy-a-furdoszoba-akkumulatort,https://alessandrodesign.ro/categorie-produs/sanitare/baterii-sanitare/,Akkumulátorok a mosogatóhoz,200,https://www.alessandrodesign.ro/collections/baterii-baie-bucatarie,https://www.alessandrodesign.hu/collections/furdoszoba-es-konyhai-csaptelepek,replace
301,Hyperlink,https://www.alessandrodesign.hu/pages/gyakori-kerdesek,https://alessandrodesign.ro/formular-retur,Visszatérő űrlap,200,https://www.alessandrodesign.ro/pages/formular-retur,https://www.alessandrodesign.hu/pages/visszakuldesi-urlap,replace
301,Hyperlink,https://www.alessandrodesign.hu/pages/vissza,https://alessandrodesign.ro/pages/formular-retur,visszaküldési űrlap,200,https://www.alessandrodesign.ro/pages/formular-retur,https://www.alessandrodesign.hu/pages/visszakuldesi-urlap,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/hogyan-valaszthatja-ki-a-konyhai-mosogato-vagy-a-furdoszoba-akkumulatort,https://alessandrodesign.ro/shop/baterie-baie-alama-sanitara-rotire-360argintiu-cf101-b/,,200,https://www.alessandrodesign.ro/collections/baterii-de-baie,https://www.alessandrodesign.hu/collections/furdoszoba-csaptelepek,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/hogyan-valaszthatja-ki-a-konyhai-mosogato-vagy-a-furdoszoba-akkumulatort,https://alessandrodesign.ro/shop/baterie-baie-retro-starke-alama-sanitara-culoare-argintiu-w058/,,200,https://www.alessandrodesign.ro/collections/baterii-de-baie,https://www.alessandrodesign.hu/collections/furdoszoba-csaptelepek,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/hogyan-valaszthatja-ki-a-konyhai-mosogato-vagy-a-furdoszoba-akkumulatort,https://alessandrodesign.ro/shop/baterie-baie-starke-alama-sanitara-culoare-auriu-wzy-325-b/,,200,https://www.alessandrodesign.ro/collections/baterii-de-baie,https://www.alessandrodesign.hu/collections/furdoszoba-csaptelepek,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/hogyan-valaszthatja-ki-a-konyhai-mosogato-vagy-a-furdoszoba-akkumulatort,https://alessandrodesign.ro/shop/baterie-bucatarie-cu-pipa-flexibila-starke-alama-sanitara-negru-od-2073/,,200,https://www.alessandrodesign.ro/collections/baterii-de-bucatarie,https://www.alessandrodesign.hu/collections/konyhai-csaptelepek,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/hogyan-valaszthatja-ki-a-konyhai-mosogato-vagy-a-furdoszoba-akkumulatort,https://alessandrodesign.ro/shop/baterie-bucatarie-inox-starke-sus-304-cf010/,,200,https://www.alessandrodesign.ro/collections/baterii-de-bucatarie,https://www.alessandrodesign.hu/collections/konyhai-csaptelepek,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/hogyan-valaszthatja-ki-a-konyhai-mosogato-vagy-a-furdoszoba-akkumulatort,https://alessandrodesign.ro/shop/baterie-bucatarie-inox-starke-sus-304-extractibil-cf-touch-3/,,200,https://www.alessandrodesign.ro/collections/baterii-de-bucatarie,https://www.alessandrodesign.hu/collections/konyhai-csaptelepek,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/hogyan-valaszthatja-ki-a-konyhai-mosogato-vagy-a-furdoszoba-akkumulatort,https://alessandrodesign.ro/shop/baterie-lavoar-inox-sus304-satinat-ysq-111/,,200,https://www.alessandrodesign.ro/collections/baterii-de-bucatarie,https://www.alessandrodesign.hu/collections/konyhai-csaptelepek,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/hogyan-valaszthatja-ki-a-konyhai-mosogato-vagy-a-furdoszoba-akkumulatort,https://alessandrodesign.ro/shop/baterie-lavoar-starke-aliaj-si-sticla-negru-od3007/,,200,https://www.alessandrodesign.ro/collections/baterii-de-baie,https://www.alessandrodesign.hu/collections/furdoszoba-csaptelepek,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/hogyan-valaszthatja-ki-a-konyhai-mosogato-vagy-a-furdoszoba-akkumulatort,https://alessandrodesign.ro/shop/baterie-monocomanda-bucatarie-26cm-bm026/,,200,https://www.alessandrodesign.ro/collections/baterii-de-bucatarie,https://www.alessandrodesign.hu/collections/konyhai-csaptelepek,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/a-dinu-maxer-haloszobajat-alessandro-design-vilagito-testekkel-felujitottak,https://www.alessandrodesign.ro/aplica-led-gavin-18w-alb-auriu.html,Alkalmazza a LED GAVIN 18W aranyfehérjét,200,https://www.alessandrodesign.ro/products/aplica-led-gavin-18w-alb-auriu,https://www.alessandrodesign.hu/products/led-lampa-gavin-18w-white-gold-1,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/az-ot-legfontosabb-vilagito-test-a-teremhez,https://www.alessandrodesign.ro/aplica-led-selenis-18w-acril-negru.html,Alkalmazza a LED Lyra -t,200,https://www.alessandrodesign.ro/products/aplica-led-lyra-18w-acril-alb-negru,https://www.alessandrodesign.hu/products/lyra-led-fali-lampa-18w-akril-fekete-feher,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/jelentkezem-a-led-vs-alkalmazza-a-hagyomanyos-izzokkal-mit-valasszon,https://www.alessandrodesign.ro/aplice-clasice,A fal a hagyományos izzókra vonatkozik,200,https://www.alessandrodesign.ro/collections/aplice-de-interior,https://www.alessandrodesign.hu/collections/belso-lampak,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/jelentkezem-a-led-vs-alkalmazza-a-hagyomanyos-izzokkal-mit-valasszon,https://www.alessandrodesign.ro/aplice-de-cristal,Kristályalkalmazások,200,https://www.alessandrodesign.ro/collections/aplice-candelabre,https://www.alessandrodesign.hu/collections/kandelaber-lampak,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/jelentkezem-a-led-vs-alkalmazza-a-hagyomanyos-izzokkal-mit-valasszon,https://www.alessandrodesign.ro/aplice-de-interior,LED -fal érvényes,200,https://www.alessandrodesign.ro/collections/aplice,https://www.alessandrodesign.hu/collections/alkalmazni,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/minden-amit-tudnod-kell-az-egeszsegugyi-akkumulatorokrol,https://www.alessandrodesign.ro/baterie-bucatarie-extractibila-starke-inox-sus304-satinat-cf023.html,Akkumulátor csillagkonyha felfelé 304 kivonható CF023,200,https://www.alessandrodesign.ro/products/baterie-bucatarie-cu-dus-extractibil-inox-sus304-satinat-cf023,https://www.alessandrodesign.hu/products/konyhai-csaptelep-kihuzhato-zuhannyal-sus304-rozsdamentes-acel-szaten-cf023,replace
301,Hyperlink,https://www.alessandrodesign.hu/blogs/hir/minden-amit-tudnod-kell-az-egeszsegugyi-akkumulatorokrol,https://www.alessandrodesign.ro/baterie-bucatarie-tip-lebada-crompipa-rotativa-lb00c.html,Akkumulátor konyha típusú króm/forgócső lb00c,200,https://www.alessandrodesign.ro/products/baterie-bucatarie-crom-lucios-lb00c-pipa-lebada-pivotanta-cartus-ceramic-set-complet-cu-racorduri-si-sistem-de-fixare,https://www.alessandrodesign.hu/products/fenyes-krom-konyhai-csaptelep-lb00c-forgo-hattyu-csaptelep-keramia-patron-komplett-keszlet-csatlakozasokkal-es-rogzito-rendszerrel,replace
